                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3708,                0.91793,                 1.0331,                0.98236,                0.98498,                 0.9939,                 0.6509,                 1.2266,                0.54731,                 1.0154,             0.00066237,             0.00066237,             0.00066237
                      2,                 1.2438,                0.55766,                0.99887,                0.98114,                0.97657,                 0.9932,                0.64819,                   1.19,                0.50959,                 1.0115,              0.0013027,              0.0013027,              0.0013027
                      3,                 1.2336,                0.54137,                0.99334,                 0.9846,                0.98761,                0.99384,                0.67399,                 1.2169,                0.47842,                 1.0062,              0.0019167,              0.0019167,              0.0019167
                      4,                  1.219,                0.52398,                0.99243,                0.97621,                0.98586,                0.99379,                0.64521,                 1.2896,                0.49888,                 1.0204,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.2165,                0.52146,                0.98789,                0.98723,                0.98685,                0.99445,                0.68873,                 1.1786,                0.43987,                 1.0034,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.1816,                0.49292,                0.98395,                0.98535,                0.98493,                0.99419,                0.65866,                 1.2107,                0.47287,                 1.0063,               0.001802,               0.001802,               0.001802
                      7,                 1.1871,                0.49766,                0.98186,                0.98789,                0.98836,                0.99419,                 0.6729,                 1.1734,                0.45001,                0.99343,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.1825,                0.49575,                0.98202,                0.98469,                0.99006,                0.99414,                0.68995,                 1.1872,                0.44997,                0.99747,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.1628,                0.48572,                0.97255,                0.98711,                0.98986,                0.99444,                 0.6832,                 1.2083,                0.44905,                0.99762,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.1698,                0.48668,                0.97886,                0.98392,                0.98778,                0.99365,                0.67369,                 1.1639,                0.42189,                0.99852,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.1629,                0.47184,                0.97355,                0.98582,                0.99212,                0.99414,                0.68102,                 1.1808,                0.42978,                0.99091,               0.001604,               0.001604,               0.001604
                     12,                 1.1522,                0.46464,                0.97689,                0.98564,                0.99099,                0.99409,                0.69587,                 1.1641,                0.41036,                 0.9866,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.1428,                0.46146,                0.96755,                0.98955,                0.98724,                 0.9944,                0.69275,                 1.1678,                0.42156,                0.98955,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.1454,                0.46509,                0.96768,                0.98731,                0.99137,                 0.9944,                0.68863,                 1.1422,                0.41905,                0.99275,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.1317,                0.45645,                0.97111,                0.99049,                0.98986,                0.99448,                0.69295,                 1.1846,                0.42022,                0.98775,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.1379,                0.45786,                0.96319,                 0.9881,                0.99212,                0.99426,                0.68791,                 1.1642,                0.41961,                0.98526,               0.001406,               0.001406,               0.001406
                     17,                  1.132,                0.45501,                0.96789,                0.99023,                0.98949,                0.99448,                 0.6835,                 1.1445,                0.41146,                0.99087,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.1386,                0.45652,                0.96591,                0.98784,                0.99174,                0.99424,                 0.6814,                 1.1574,                0.40506,                0.99137,              0.0013268,              0.0013268,              0.0013268
                     19,                  1.136,                0.45171,                0.96767,                0.98796,                0.99137,                 0.9945,                0.69505,                 1.1535,                0.40146,                0.98348,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.1233,                0.44997,                0.95869,                0.98887,                0.98949,                0.99452,                0.69523,                 1.1336,                0.40571,                0.98351,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.0997,                0.43811,                0.95759,                0.98721,                0.99137,                0.99429,                0.69508,                 1.1289,                0.39383,                0.97961,               0.001208,               0.001208,               0.001208
                     22,                 1.1241,                0.44624,                0.96269,                0.99171,                0.98804,                0.99458,                0.70347,                 1.1313,                0.41544,                0.98111,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.1063,                0.44677,                0.95755,                0.99024,                0.99054,                 0.9945,                0.69263,                 1.1187,                0.39002,                0.98299,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.1141,                0.43938,                0.95949,                0.99001,                0.98949,                0.99445,                0.69948,                 1.1245,                0.39008,                0.98176,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.0982,                0.43332,                0.95937,                0.99025,                0.99139,                0.99437,                0.69803,                 1.1324,                0.40232,                0.98001,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.0911,                0.43614,                 0.9574,                0.98876,                0.98949,                0.99424,                0.69327,                 1.1185,                0.39562,                0.98534,                0.00101,                0.00101,                0.00101
                     27,                 1.1057,                0.43416,                0.95872,                0.99064,                0.99099,                0.99438,                0.69559,                 1.1349,                0.40912,                0.98068,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.0832,                0.42905,                0.95118,                0.99251,                0.98911,                0.99427,                0.69452,                  1.139,                0.39717,                0.98198,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.0905,                0.42559,                0.95626,                0.99011,                0.98836,                0.99434,                0.69905,                 1.1233,                0.38706,                0.98161,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.0944,                0.42904,                0.95285,                 0.9906,                0.98836,                0.99422,                0.69902,                 1.1221,                0.39023,                0.97975,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.0814,                0.42686,                0.95042,                0.98879,                0.99309,                0.99448,                0.70469,                 1.1356,                0.38661,                0.97927,               0.000812,               0.000812,               0.000812
                     32,                 1.0884,                0.42429,                0.95538,                0.99112,                0.98724,                0.99438,                0.70532,                 1.1103,                0.38509,                0.98011,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.0631,                0.41753,                0.95034,                0.98893,                0.99024,                0.99429,                0.70164,                 1.1189,                0.38058,                0.97799,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.0616,                 0.4157,                0.94435,                0.98987,                0.99077,                0.99439,                0.69903,                 1.1101,                 0.3782,                0.98002,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.0622,                0.41476,                 0.9464,                0.99142,                0.99137,                0.99437,                0.69929,                 1.1081,                0.38818,                0.97557,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0655,                0.41352,                0.95046,                0.99025,                0.99088,                0.99437,                0.70058,                  1.108,                0.37708,                 0.9797,               0.000614,               0.000614,               0.000614
                     37,                  1.068,                0.41502,                 0.9528,                0.99238,                0.99062,                0.99455,                0.70397,                 1.1128,                0.38213,                0.97886,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.0474,                0.40932,                0.94912,                0.99053,                0.99137,                0.99456,                0.70417,                 1.1078,                0.37634,                0.97636,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.0511,                0.41015,                0.94458,                0.99059,                0.99249,                0.99442,                0.70671,                  1.096,                0.37595,                0.97469,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.0555,                0.40888,                0.94741,                0.98842,                0.99287,                0.99445,                0.70608,                 1.1049,                0.37785,                0.97725,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.0618,                0.39752,                0.97924,                0.99168,                0.98986,                0.99449,                0.70393,                 1.1159,                0.37751,                0.97729,               0.000416,               0.000416,               0.000416
                     42,                 1.0587,                0.39065,                 0.9828,                0.99284,                0.98847,                0.99438,                0.70219,                 1.0994,                0.37619,                0.97822,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.0466,                 0.3914,                0.96929,                0.99352,                0.98949,                 0.9944,                0.70525,                 1.1138,                0.37858,                0.97735,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.0451,                0.38592,                0.97782,                0.99171,                0.98842,                0.99438,                0.70518,                 1.1341,                0.38311,                0.98116,              0.0002972,              0.0002972,              0.0002972
                     45,                  1.038,                0.38513,                  0.972,                0.98841,                0.99259,                0.99433,                0.70511,                 1.1086,                0.37571,                0.97652,              0.0002576,              0.0002576,              0.0002576
                     46,                  1.037,                 0.3796,                0.97658,                0.99132,                0.98874,                0.99438,                0.70707,                 1.1139,                0.37613,                0.97638,               0.000218,               0.000218,               0.000218
                     47,                 1.0283,                 0.3794,                0.97097,                0.98906,                0.99137,                0.99445,                0.70615,                 1.0983,                 0.3724,                0.97557,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.0215,                0.37686,                0.96688,                0.99012,                0.99062,                0.99445,                0.70983,                 1.1059,                  0.372,                0.97631,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.0162,                0.37562,                0.96592,                0.99029,                0.98836,                0.99445,                0.70997,                 1.0957,                0.36677,                0.97492,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.0192,                0.37044,                0.96963,                0.99117,                0.98949,                0.99444,                0.70991,                 1.0998,                 0.3656,                0.97535,               5.96e-05,               5.96e-05,               5.96e-05
